count,max,warehouse_id,dst_office_id,office_name,pickup_latitude,pickup_longitude
314,2023-04-24,507,5628,МСК Сколковское шоссе 22к1,55.70869195,37.40067036
258,2023-04-24,507,123582,МСК Зеленоград к2037,55.971607,37.170595
466,2023-04-24,507,105193,МСК Тимирязевская 25,55.814829,37.56413
579,2023-04-24,507,6004,МСК пр-кт 40 лет Октября 20,55.67683001,37.74542879
320,2023-04-24,507,1356,МО Жуковский Пушкина 4,55.59066972,38.12718738
199,2023-04-24,507,561,МСК Авиаконструктора Петлякова 9,55.62225448,37.30269003
672,2023-04-24,507,2783,МСК Молодогвардейская 45,55.7335943,37.41015517
302,2023-04-24,507,108982,МО рп Ильинский Московская 22,55.617738,38.09857
115,2023-04-24,507,161008,МСК Волгоградский пр-кт 9с1,55.730818,37.674456
288,2023-04-24,507,2874,МО Звенигород Московская 17,55.7301,36.856
801,2023-04-24,507,3407,МО Домодедово Каширское шоссе 95Б,55.42576403,37.77440149
264,2023-04-24,507,157719,МО Видное Ольховая 6,55.543379,37.722064
877,2023-04-24,507,107468,МСК Гольяновская 7к1,55.775431,37.709836
611,2023-04-24,507,3472,МО Дубна Понтекорво 8,56.74112153,37.16824798
248,2023-04-24,507,109960,МО Свердловский Михаила Марченко 13,55.896014,38.132214
684,2023-04-24,507,107309,МСК Академика Королёва 5,55.820859,37.628039
1161,2023-04-24,507,3562,МСК Ивана Франко 40с2,55.72849899,37.41124234
254,2023-04-24,507,4157,МО Егорьевск Смычка 28А,55.37084895,39.02945868
254,2023-04-24,507,113104,МО Краснознаменск Победы 28,55.591585,37.032962
257,2023-04-24,507,2687,МО Павловский Посад Кирова 12,55.77981101,38.65498378
934,2023-04-24,507,112255,МСК Байкальская 31,55.817966,37.808302
985,2023-04-24,507,2946,МСК бульвар Яна Райниса 29,55.84822,37.421794
489,2023-04-24,507,3723,МСК Клары Цеткин 11к2,55.81954,37.51626291
568,2023-04-24,507,107214,МСК Лихоборские Бугры 12,55.843599,37.547563
894,2023-04-24,507,3271,МСК Пушкарёв пер 16,55.76851006,37.62858392
1087,2023-04-24,507,101886,МСК Миклухо-Маклая 42Б,55.637711,37.541277
521,2023-04-24,507,105114,МО пос Лунёво Гаражная 14А,55.992129,37.334201
400,2023-04-24,507,106710,МО рп Михнево Ленина 15,55.113981,37.95359
267,2023-04-24,507,145676,МСК Бирюлёвская 37А,55.58906072,37.66557774
546,2023-04-24,507,203485,"МСК Квартал №28, 2к8",55.60485271,37.41295588
1058,2023-04-24,507,136641,МСК Малая Филёвская 38,55.734826,37.45462
146,2023-04-24,507,2696,МО Шатура Винтера 1А,55.576599,39.54833
194,2023-04-24,507,3617,МСК Маршала Неделина 34к2,55.725218,37.418954
752,2023-04-24,507,2939,Подольск Заводская 11/2,55.379732,37.541342
457,2023-04-24,507,110481,МСК п. Коммунарка Потаповская Роща 24к2,55.551019,37.509197
331,2023-04-24,507,3613,МСК Боровский пр 14,55.65382587,37.38588654
213,2023-04-24,507,104571,МО Щёлково площадь Ленина 5,55.922362,37.991415
348,2023-04-24,507,108945,МО д Глухово Рублёвское Предместье 7к2,55.770054,37.247485
306,2023-04-24,507,2119,МО Зарайск Мерецкова 23,54.759592,38.880361
294,2023-04-24,507,5306,Балашиха 12-я Линия 7А,55.774483,37.8991475
674,2023-04-24,507,122984,МСК Челобитьевское шоссе 12к4,55.912117,37.549887
545,2023-04-24,507,2911,МО Коломна Октябрьской Революции 328,55.08826976,38.78771121
566,2023-04-24,507,1872,МО Апрелевка Парковая 7к2,55.55451077,37.07183503
207,2023-04-24,507,108980,МО рп Серебряные Пруды Механизаторов 17,54.463403,38.723346
488,2023-04-24,507,124702,МСК Дмитровское шоссе 165Дк6,55.923465,37.543253
158,2023-04-24,507,201256,МО д Малые Вязёмы Высокие Жаворонки 7,55.64343631,37.05452951
519,2023-04-24,507,117200,Балашиха Брагина 1,55.761715,37.964446
